"No.","Time","Source","Destination","Protocol","Length","Info","TLS server name","Flags"
"96","0.368961","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3354 Ack=70627 Win=130816 Len=0","","0x010"
"97","0.790785","10.100.102.162","185.15.59.224","TLSv1.3","169","Application Data","","0x018"
"98","0.858905","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=70627 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 113]","","0x010"
"99","0.859259","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=72079 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 113]","","0x018"
"100","0.859259","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=73531 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 113]","","0x010"
"101","0.859293","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3469 Ack=74983 Win=130816 Len=0","","0x010"
"102","0.859765","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=74983 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 113]","","0x018"
"103","0.859793","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3469 Ack=76435 Win=130816 Len=0","","0x010"
"104","0.861266","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=76435 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 113]","","0x010"
"105","0.861266","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=77887 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 113]","","0x018"
"106","0.861292","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3469 Ack=79339 Win=130816 Len=0","","0x010"
"107","0.863245","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=79339 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 113]","","0x010"
"108","0.863245","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=80791 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 113]","","0x018"
"109","0.863285","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3469 Ack=82243 Win=130816 Len=0","","0x010"
"110","0.868273","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=82243 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 113]","","0x010"
"111","0.868273","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=83695 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 113]","","0x018"
"112","0.868405","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3469 Ack=85147 Win=130816 Len=0","","0x010"
"113","0.868560","185.15.59.224","10.100.102.162","TLSv1.3","1506","Application Data","","0x010"
"114","0.868810","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=86599 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 129]","","0x018"
"115","0.868875","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3469 Ack=88051 Win=130816 Len=0","","0x010"
"116","0.869787","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=88051 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 129]","","0x010"
"117","0.869787","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=89503 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 129]","","0x018"
"118","0.869844","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3469 Ack=90955 Win=130816 Len=0","","0x010"
"119","0.870814","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=90955 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 129]","","0x010"
"120","0.871282","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=92407 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 129]","","0x018"
"121","0.871311","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3469 Ack=93859 Win=130816 Len=0","","0x010"
"122","0.873447","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=93859 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 129]","","0x010"
"123","0.874005","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=95311 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 129]","","0x018"
"124","0.874038","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3469 Ack=96763 Win=130816 Len=0","","0x010"
"125","0.874568","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=96763 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 129]","","0x010"
"126","0.875073","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=98215 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 129]","","0x018"
"127","0.875090","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3469 Ack=99667 Win=130816 Len=0","","0x010"
"128","0.875524","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=99667 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 129]","","0x010"
"129","0.875524","185.15.59.224","10.100.102.162","TLSv1.3","1506","Application Data","","0x018"
"130","0.875547","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3469 Ack=102571 Win=130816 Len=0","","0x010"
"131","0.879271","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=102571 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 146]","","0x010"
"132","0.879271","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=104023 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 146]","","0x018"
"133","0.879348","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3469 Ack=105475 Win=130816 Len=0","","0x010"
"134","0.879845","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=105475 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 146]","","0x010"
"135","0.879845","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=106927 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 146]","","0x018"
"136","0.879995","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3469 Ack=108379 Win=130816 Len=0","","0x010"
"137","0.881795","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=108379 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 146]","","0x010"
"138","0.881795","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=109831 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 146]","","0x018"
"139","0.881902","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3469 Ack=111283 Win=130816 Len=0","","0x010"
"140","0.882282","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=111283 Ack=3469 Win=42496 Len=1452 [TCP PDU reassembled in 146]","","0x010"
