"No.","Time","Source","Destination","Protocol","Length","Info","TLS server name","Flags"
"50","0.325186","10.9.14.244","206.247.43.169","TCP","54","63136  >  443 [ACK] Seq=39 Ack=88 Win=251 Len=0","","0x010"
"51","0.325378","10.9.14.244","206.247.43.169","TLSv1.2","121","Application Data","","0x018"
"52","0.344909","10.9.14.244","206.247.43.169","UDP","278","63406  >  8801 Len=236","",""
"53","0.364637","10.9.14.244","206.247.43.169","UDP","273","63406  >  8801 Len=231","",""
"54","0.366834","206.247.43.169","10.9.14.244","UDP","1014","8801  >  63404 Len=972","",""
"55","0.367108","10.9.14.244","206.247.43.169","UDP","145","63404  >  8801 Len=103","",""
"56","0.376931","206.247.43.169","10.9.14.244","UDP","1014","8801  >  63404 Len=972","",""
"57","0.376931","206.247.43.169","10.9.14.244","UDP","1013","8801  >  63404 Len=971","",""
"58","0.386192","10.9.14.244","206.247.43.169","UDP","263","63406  >  8801 Len=221","",""
"59","0.400310","10.9.14.244","206.247.43.169","UDP","264","63406  >  8801 Len=222","",""
"60","0.408786","206.247.43.169","10.9.14.244","UDP","837","8801  >  63404 Len=795","",""
"61","0.408786","206.247.43.169","10.9.14.244","UDP","837","8801  >  63404 Len=795","",""
"62","0.425956","10.9.14.244","206.247.43.169","UDP","373","63404  >  8801 Len=331","",""
"63","0.426003","10.9.14.244","206.247.43.169","UDP","282","63406  >  8801 Len=240","",""
"64","0.445396","10.9.14.244","206.247.43.169","UDP","288","63406  >  8801 Len=246","",""
"65","0.458513","206.247.43.169","10.9.14.244","UDP","843","8801  >  63404 Len=801","",""
"66","0.458513","206.247.43.169","10.9.14.244","UDP","836","8801  >  63404 Len=794","",""
"67","0.458513","206.247.43.169","10.9.14.244","UDP","836","8801  >  63404 Len=794","",""
"68","0.464713","10.9.14.244","206.247.43.169","UDP","299","63406  >  8801 Len=257","",""
"69","0.470377","206.247.43.169","10.9.14.244","UDP","1287","8801  >  63404 Len=1245","",""
"70","0.480119","10.9.14.244","206.247.43.169","UDP","310","63406  >  8801 Len=268","",""
"71","0.501808","206.247.43.169","10.9.14.244","UDP","186","8801  >  63404 Len=144","",""
"72","0.506154","10.9.14.244","206.247.43.169","UDP","309","63406  >  8801 Len=267","",""
"73","0.509964","206.247.43.169","10.9.14.244","UDP","1286","8801  >  63404 Len=1244","",""
"74","0.509964","206.247.43.169","10.9.14.244","UDP","441","8801  >  63404 Len=399","",""
"75","0.509964","206.247.43.169","10.9.14.244","UDP","440","8801  >  63404 Len=398","",""
"76","0.522893","206.247.43.169","10.9.14.244","TCP","56","443  >  63136 [ACK] Seq=88 Ack=106 Win=16 Len=0","","0x010"
"77","0.525552","10.9.14.244","206.247.43.169","UDP","294","63406  >  8801 Len=252","",""
"78","0.546030","10.9.14.244","206.247.43.169","UDP","287","63406  >  8801 Len=245","",""
"79","0.555288","206.247.43.169","10.9.14.244","UDP","822","8801  >  63404 Len=780","",""
"80","0.560696","10.9.14.244","206.247.43.169","UDP","264","63406  >  8801 Len=222","",""
"81","0.585461","10.9.14.244","206.247.43.169","UDP","252","63406  >  8801 Len=210","",""
